iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
MOZ,Mozambique,Africa,2021,14718782.0,18.46,146700.0,1801.0,32969520,4449.564324867332,54.62621233187502,8.86981869,Sub-Saharan Africa,Low income
MMR,Myanmar,Asia,2021,31859036.0,24.05,407727.0,16653.0,54179312,7525.510844434495,307.36824417408627,5.83599281,East Asia & Pacific,Lower middle income
NAM,Namibia,Africa,2021,630212.0,11.05,124174.0,3416.0,2567024,48372.746028085436,1330.7238265010378,9.33766365,Sub-Saharan Africa,Upper middle income
NRU,Nauru,Oceania,2021,14863.0,57.13,0.0,0.0,12691,0.0,0.0,12.00061035,East Asia & Pacific,High income
NPL,Nepal,Asia,2021,21988516.0,31.88,569090.0,8865.0,30547586,18629.62264841484,290.20296399198287,5.32333136,South Asia,Lower middle income
NLD,Netherlands,Europe,2021,28006524.0,65.97,2312304.0,9421.0,17564020,131650.0436688184,536.3806235702306,11.12490749,Europe & Central Asia,High income
NCL,New Caledonia,Oceania,2021,355717.0,59.74,12679.0,280.0,289959,43726.87173014116,965.6537648426157,,East Asia & Pacific,High income
NZL,New Zealand,Oceania,2021,8185416.0,74.37,11740.0,25.0,5185289,2264.0975266759483,4.821332041473484,10.0194025,East Asia & Pacific,High income
NIC,Nicaragua,North America,2021,7785141.0,41.82,8741.0,52.0,6948395,1257.9883555842753,7.483742648482131,9.59249973,Latin America & Caribbean,Lower middle income
NER,Niger,Africa,2021,971636.0,1.77,4159.0,173.0,26207982,158.69211143383723,6.601042384720808,5.81452751,Sub-Saharan Africa,Low income
NGA,Nigeria,Africa,2021,14838199.0,2.05,152438.0,1767.0,218541216,697.5251752969106,8.085431354056343,4.07625723,Sub-Saharan Africa,Lower middle income
NIU,Niue,Oceania,2021,2628.0,58.91,0.0,0.0,1952,0.0,0.0,,,
PRK,North Korea,Asia,2021,,,0.0,0.0,26069416,0.0,0.0,,East Asia & Pacific,Low income
MKD,North Macedonia,Europe,2021,1755026.0,39.01,141513.0,5456.0,2093606,67592.94728807618,2606.029978897653,8.5240345,Europe & Central Asia,Upper middle income
MNP,Northern Mariana Islands,Oceania,2021,,,2771.0,9.0,49574,55896.23593012466,181.5467785532739,,East Asia & Pacific,High income
NOR,Norway,Europe,2021,9789464.0,72.31,328046.0,914.0,5434324,60365.557887236755,168.19019256120907,9.8142643,Europe & Central Asia,High income
OMN,Oman,Asia,2021,6118018.0,63.42,176768.0,2989.0,4576300,38626.83827546271,653.1477394401591,4.37028217,Middle East & North Africa,High income
PAK,Pakistan,Asia,2021,156623021.0,29.93,823599.0,19089.0,235824864,3492.418000503967,80.94566313414687,2.99015832,South Asia,Lower middle income
PLW,Palau,Oceania,2021,,,8.0,0.0,18084,442.3800044238001,0.0,14.62713623,East Asia & Pacific,High income
PSE,Palestine,Asia,2021,3383211.0,28.87,319903.0,3494.0,5250076,60933.0226838621,665.5141754138416,10.4347353,Middle East & North Africa,Lower middle income
PAN,Panama,North America,2021,6193744.0,63.61,259717.0,3653.0,4408582,58911.68634268343,828.6111044322188,9.13571072,Latin America & Caribbean,High income
PNG,Papua New Guinea,Oceania,2021,504018.0,2.17,35350.0,581.0,10142625,3485.291036590626,57.28300119544989,2.33994722,East Asia & Pacific,Lower middle income
