iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
CYP,Cyprus,Europe,2022,1797542.0,72.1,478661.0,618.0,896007,534215.6925113308,689.7267543668744,8.87060547,Europe & Central Asia,High income,0.7391304347826086,0.7717391304347826,0.1032608695652174,0.5565217391304348,71
AFG,Afghanistan,Asia,2022,12449870.0,26.15,49420.0,493.0,41128772,1201.5919172106574,11.98674251689304,23.0881691,South Asia,Low income,0.17391304347826086,1.0,0.75,0.5532608695652174,72
MMR,Myanmar,Asia,2022,64549994.0,50.84,103999.0,236.0,54179312,1919.5334189551909,4.355906180573132,5.20476246,East Asia & Pacific,Lower middle income,0.44021739130434784,0.3695652173913043,0.875,0.5529891304347827,73
MAR,Morocco,Africa,2022,55357504.0,62.78,315657.0,1467.0,37457976,8426.963592480277,39.16388862014328,5.68049145,Middle East & North Africa,Lower middle income,0.5760869565217391,0.4076086956521739,0.6141304347826086,0.5453804347826087,74
BLR,Belarus,Europe,2022,17358735.0,66.42,301436.0,1634.0,9534956,31613.779864322398,171.36943264342278,6.65919876,Europe & Central Asia,Upper middle income,0.6195652173913043,0.5163043478260869,0.4347826086956522,0.5383152173913043,75
LKA,Sri Lanka,Asia,2022,40116590.0,67.57,88202.0,1931.0,21832150,4040.005221657051,88.44754181333492,4.36269855,South Asia,Lower middle income,0.6630434782608695,0.25,0.5543478260869565,0.5271739130434783,76
GRC,Greece,Europe,2022,22017133.0,73.6,3938076.0,14471.0,10384972,379209.1110115656,1393.4558513975774,8.49983692,Europe & Central Asia,High income,0.7554347826086957,0.7391304347826086,0.0,0.5247282608695651,77
CZE,Czechia,Europe,2022,18601405.0,65.69,2091075.0,6111.0,10493990,199264.0549495473,582.3333164983004,8.79904652,Europe & Central Asia,High income,0.6086956521739131,0.7608695652173914,0.1630434782608695,0.5130434782608696,78
IRN,Iran,Asia,2022,154773070.0,66.08,1377826.0,13325.0,88550568,15559.764675930708,150.4789895870572,5.34889174,Middle East & North Africa,Upper middle income,0.6141304347826086,0.3804347826086957,0.46739130434782605,0.5116847826086957,79
IND,India,Asia,2022,2200989986.0,67.12,9890304.0,51011.0,1417173120,6978.896128089135,35.99489665736815,3.3058846,South Asia,Lower middle income,0.6521739130434783,0.11413043478260869,0.625,0.5095108695652174,80
DOM,Dominican Republic,North America,2022,16171774.0,54.07,244700.0,147.0,11228821,21792.136503022,13.091312079870184,4.57254791,Latin America & Caribbean,Upper middle income,0.4782608695652174,0.28804347826086957,0.7391304347826086,0.5089673913043478,81
PHL,Philippines,Asia,2022,169779996.0,63.97,1220895.0,14062.0,115559008,10565.121846667287,121.68674898974557,5.15676308,East Asia & Pacific,Lower middle income,0.5815217391304348,0.3641304347826087,0.5108695652173914,0.5059782608695652,82
STP,Sao Tome and Principe,Africa,2022,228291.0,45.72,2535.0,20.0,227393,11148.100425254956,87.95345503159729,7.46419811,Sub-Saharan Africa,Lower middle income,0.40217391304347827,0.625,0.5597826086956521,0.5051630434782609,83
ISR,Israel,Asia,2022,18609154.0,65.18,3391936.0,3775.0,9449000,358973.01301725046,399.51317599746005,7.34161806,Middle East & North Africa,High income,0.6032608695652174,0.6032608695652174,0.2663043478260869,0.5021739130434782,84
SMR,San Marino,Europe,2022,69338.0,70.15,15366.0,23.0,33690,456099.732858415,682.695161769071,7.40650225,Europe & Central Asia,High income,0.7010869565217391,0.6141304347826086,0.10869565217391308,0.5016304347826087,85
CPV,Cape Verde,Africa,2022,859940.0,52.05,24177.0,60.0,593162,40759.52269363176,101.15280479868906,6.67440224,Sub-Saharan Africa,Lower middle income,0.46195652173913043,0.5217391304347826,0.5326086956521738,0.49809782608695646,86
